igoID,igoAbbr,igoShortName,igoLongName,StartYear,EndYear,EndReason,Notes
2325,IALong,Intl Advisory Cmte Long Distance Tele,International Advisory Committee for Long Distance Telephony,1924,1932,None,
2330,IAMLO,Intl Af Migratory Locust Org,International African Migratory Locust Organization,1955,1985,None,
2090,IAPhy,Inter-Af Phyto Convention,Inter-African Phytosanitary Convention,1954,1960,None,
2100,IARA,Inter Allied Reparation Agency,Inter-Allied Reparation Agency,1946,1955,None,
2105,IARHC,Inter Allied Rhineland High Comm,Inter-Allied Rhineland High Commission,1919,1934,None,
2203,IARadiO,Inter-American Radio Office,Inter-American Radio Office,1937,1963,integrated,
2380,IARuhr,Intl Authority Ruhr,International Authority for the Ruhr,1949,1953,None,
2350,IAS,Intl Assoc Seismology,International Association of Seismology,1903,1922,None,
2360,IASAJ,Int'l Assoc. of Supreme Admin. Jurisdictions,International Association of Supreme Administrative Jurisdictions,1983,,None,
2206,IATB,Inter Am Trdmk Bureau,Inter-American Trademark Bureau,1917,1944,None,
2340,IATSJ,Intl Arbitration Trib at San Jose,International Arbitration Tribunal at San Jose,1907,1916,None,
2210,IATTC,Inter-Am Tropical Tuna Comm,Inter-American Tropical Tuna Commission,1949,,None,
2410,IBA,Int'l Bauxite Assoc.,International Bauxite Association (IBA),1974,1997,None,
2455,IBCS,Intl Bureau Commercial Stat,International Bureau of Commercial Statistics,1913,1935,None,
2460,IBE,Intl Bureau Education,International Bureau of Education,1929,1969,integrated,
2390,IBEC,Intl Bank Economic Coop,International Bank for Economic Cooperation,1963,,None,
2240,IBI,Intergov. Bureau for Infomatics,Intergovernmental Bureau for Informatics (IBI),1974,1991,None,
2430,IBIER,Intl Bureau Inform Enquiry Relief,International Bureau for Information and Enquiries regarding Relief to Foreigner,1907,1921,None,
2440,IBPMP,Int Comm for Protection of Moselle,International Bureau for the Protection of the Moselle against Pollution,1963,,None,
2400,IBRD,World Bank,International Bank for Reconstruction and Development (World Bank),1945,,None,
2680,ICAC,Intl Cotton Adv Comte,International Cotton Advisory Committee,1939,,None,
2600,ICAI,Intl Comm of Ag Industries,International Commission of Agricultural Industries/International Commission for,1934,,None,
2500,ICAO,Intl Civil Aviation Org,International Civil Aviation Organization (ICAO)/International Commission for Ai,1919,,None,
2490,ICAmO,Intl Central American Office,International Central American Office,1907,1914,None,
2702,ICC,International Criminal Court,International Criminal Court (ICC),2002,,None,"WEBSITE: http://www.segib.org/ NOTES:   Per Final Declaration of 2003 Summit (pdf on org's website 6/21/08), 21 countries participated in 2003 Summit that created Secretariat (Andorra joined in 2004, per Wikipedia).;WEBSITE: http://www.wmdcommission.org/ NOTES: The Commission has 14 members: the Chairman plus 13 Commissioners chosen by him [these individuals come from: Sweden (chair), Australia, Brazil, China, India, Indonesia, Ireland, Japan, Jordan, Russia, Senegal, Sri Lanka, UK, USA.  [Appears to ;WEBSITE: http://www.savacommission.org/ NOTES: ;WEBSITE: http://www.bobpigo.org/ NOTES: "
2280,ICCEC,Intgvt Council of Copper Exp. Countries,Intergovernmental Council of Copper Exporting Countries,1968,1997,None,
2320,ICCILMB,Interim Comm. for Coor. Investigations of the Lower Mek,Interim Committee for Coordination of Investigations of the Lower Mekong Basin (,1978,1995,replaced,
2520,ICCO,Int'l Cocoa Org.,International Cocoa Organization (ICCO),1973,,None,
2480,ICCROM,Intl Center Study Preserv & Restor Cultural Prop,International Center for the Study of the Preservation and the Restoration of Cu,1958,,None,
2620,ICCS,Intl Comm on Civil Status,International Commission on Civil Status,1948,,None,
2610,ICCSLT,Intl Comm of Cape Spartel Light,International Commission of the Cape Spartel Light in Tangier,1865,1958,None,
2540,ICDR,Intl Comm for Decenn. Revision Nomen,International Commission for the Decennial Revision of the Nomenclature of the C,1900,1938,None,
2690,ICES,Intl Council for Exploration of Sea,International Council for the Exploration of the Sea,1902,,None,
2492,ICFAM,International Centre for Food Micro-Algae Against Malnutrition,International Centre for Food Micro-Algae Against Malnutrition,2001,,None,"WEBSITE: http://www.kbri-canberra.org.au/press/press041203e_deplu.htm - http://www.dfat.gov.au/asean/joint_media_statement.html - www.mne.gov.tl/en/index.php?option=com_content&view=article&id=20&Itemid=53 NOTES: ;WEBSITE: http://portal.unesco.org/education/en/ev.php-URL_ID=31056&URL_DO=DO_TOPIC&URL_SECTION=201.html - www.lins.no/events/NETF%20Completion%2007%20Presentations/FAPED%20Program.ppt - www.dakar.unesco.org/news/faped/en/020131_faped.shtml NOTES:   Dakar Website (accessed 11/1/08): [lists Mauritius,  Namibia, Senegal, Sudan, Tanzania as the countries that participated in drafting Charter in 2002].  YIO lists as H (Inactive), but Power Point presentation website from 2007 indicates it is;WEBSITE: http://www.unctad.org/infocomm/anglais/rubber/ecopolicies.htm#ITRO NOTES: ;WEBSITE: http://www.africa-union.org/ NOTES: ;WEBSITE: http://www.pftac.org/AFSPC?index.htm NOTES:  "
2550,ICHRB,Int'l Comm. for the Hydrology of the Rhine Basin,International Commission for the Hydrology of the Rhine Basin,1970,,None,
2640,ICMMP,Intl Comte of Military Medicine & Pharmacy,International Committee of Military Medicine and Pharmacy/International Committe,1921,,None,
2560,ICNC,Intl Comm Navigation of Congo,International Commission for the Navigation of the Congo,1885,1914,None,
2570,ICNWAF,Intl Comm for NW Atlantic Fisheries,International Commission for the Northwest Atlantic Fisheries,1949,1978,replaced,
2450,ICPRP,Int Comm Protect Rhine Pollution,International Bureau for the Protection of the Rhine against Pollution/Internati,1963,,None,
2650,ICPTU,Intl Conf Promoting Tech Unification,International Conference for Promoting Technical Unification on the Railways/Int,1882,1938,None,
2670,ICRI,Int'l Coral Reef Initiative,International Coral Reef Initiative (ICRI),1994,,None,
2260,ICRPBC,Intergov. Committee of the River Plate Basin,Intergovernmental Committee of the River Plate Basin Countries,1969,,None,
2580,ICSE,Intl Comm Scientific Exploration of Med Sea,International Commission for the Scientific Exploration of the Mediterranean Sea,1910,,None,
2590,ICSEAF,Int'l Commm. for SE Atlantic Fisheries,International Commission for the Southeast Atlantic Fisheries (ICSEAF),1969,1990,None,
2660,ICSG,Int'l Copper Study Grp.,International Copper Study Group,1992,,None,
2630,ICTM,Intl Comm Teaching Math,International Commission on the Teaching of Mathematics,1908,1939,None,
2635,ICWMD,International Commission on Weapons of Mass Destruction,International Commission on Weapons of Mass Destruction,2003,,None,"WEBSITE: http://www.acwl.ch/ NOTES:   [Per org's website (accessed 3/12/08), 20 LDCs and 9 MDCs became members by signing initial agreement. Later, 7 LCDs and 1 MDC became members via accession: Jordan (2002), Oman (2003), Mauritius (2003), Turkey (2003), El Salvador (2004), Indo;WEBSITE: http://www.amcow.org/ NOTES:   Per 2002 Abuja Declaration on Zambian government's website (accessed 3/12/08), there were 43 initial governments listed [I used this to code initial membership].;WEBSITE: http://www.boip.int/ NOTES: "
2530,ICfO,Intl Coffee Org,International Coffee Organization,1963,,None,
2495,IChemO,Intl Chemistry Office,International Chemistry Office,1927,1950,None,
2510,ICivDO,Int'l Civil Defence Org.,International Civil Defence Organization (ICDO),1972,,None,
2575,IComO,Intl Comm for the Oder,International Commission for the Oder,1919,1936,None,
2030,IDC,Imperial Defense Cmte,Imperial Defense Committee,1920,1946,None,
2710,IEA,Intl Energy Agency,International Energy Agency (IEA),1974,,None,
2705,IEC,Intl Elbe Comm,International Elbe Commission,1919,1936,None,
2720,IES,Intl Exchange Service,International Exchange Service,1886,1939,None,
2730,IEXB,Intl Exhib Bureau,International Exhibitions Bureau,1928,,None,
2760,IFAD,Int Fund for Agriculture & Development,International Fund for Agricultural Development (IFAD),1974,,None,
2750,IFC,Int'l Finance Corporation,International Finance Corporation (IFC),1956,,None,
2740,IFCA,Intl Finance Comm at Athens,International Finance Commission at Athens,1898,1914,None,
2230,IGAD,Inter-Gov Authority on Drought Protection,Intergovernmental Authority on Development (IGAD)/Inter-Governmental Authority o,1986,,None,
3260,IGC,Intl Grains Council,International Wheat Advisory Committee (IW Council)/Int'l Grains Council,1949,,None,
2270,IGCC,Intergov Copyright Comte,Intergovernmental Copyright Committee,1952,1971,replaced,
2780,IHO,Intl Hydrographic Org,International Hydrographic Bureau/International Hydrographic Organization,1919,,None,
2800,IIA,Intl Institute of Ag,International Institute of Agriculture,1905,1945,replaced,
2805,IICom,Intl Instit of Commerce,International Institute of Commerce,1919,1943,None,
2033,IIE,Imperial Instit of Entomology,Imperial Institute of Entomology,1920,1933,integrated,
2810,IIF,Intl Instit of Refrigeration,International Institute of Refrigeration,1920,,None,
2795,IIWEE,International Institute for Water and Environment Engineering,International Institute for Water and Environment Engineering (2IE),2004,,None,WEBSITE: http://en.wikipedia.org/wiki/Bank_of_the_South NOTES: ;WEBSITE: http://www.ue2007.pt/UE/vEN/Reunioes_Eventos/Informais/IMMJHA.htm NOTES: 
2820,IJO,Int'l Jute Organization,International Jute Organization (IJO),1984,2001,None,
2830,ILO,Intl Labour Org,International Labour Organization,1919,,None,
2840,ILZSG,Intl Lead & Zinc Study Group,International Lead and Zinc Study Group,1959,,None,
2850,IMBSlav,Intl Maritime Bureau Against Slave,International Maritime Bureau Against the Slave Trade,1890,1909,None,
2890,IMC,Intl Moselle Comp,International Moselle Company,1963,1987,None,
2880,IMF,Intl Monetary Fund,International Monetary Fund,1944,,None,
2036,IMI,Imperial Mycological Institute,Imperial Mycological Institute,1920,1933,integrated,
2860,IMO,Intl Maritime Org,International Maritime Organization (IMO)/Provisional Maritime Consultative Comm,1948,,None,
2870,IMSO,Int'l Mobile Satellite Org.,International Mobile Satellite Organization (IMSO),1979,,None,
2070,INCAP,Instit Nutrition for Cent Am & Pan,Institute of Nutrition for Central America and Panama (INCAP),1949,,None,
2300,INFOFISH,InfoFish,Intergovernmental Organization for Marketing Information and Technical Advisory,1981,,None,
1110,INFSMK,InfoSAMAK,Centre for Marketing Information and Advisory Services for Fishery/INFOSAMAK,1986,,None,
2900,INRO,Int'l Natural Rubber Org.,International Natural Rubber Organization (INRO),1980,1999,None,
2910,INSG,Int'l Nickel Study Group,International Nickel Study Group (INSG),1990,,None,
3170,INTELSAT,Int'l Telecomm. Satellite Org.,International Telecommunications Satellite Organization (INTELSAT),1964,2000,None,
2700,INTERPOL,Intl Criminal Police Comm,International Criminal Police Commission/International Criminal Police Organizat,1923,,None,
3300,IOATHRE,Inter-St Org. for Advanced Technicians of Hydraulics...,Inter-State Organization for Advanced Technicians of Hydraulics and,1972,2004,None,
2050,IOCom,Indian Ocean Comm,Indian Ocean Commission (IOC),1982,,None,
2930,IOEz,Intl Office Epizootics,International Office of Epizootics,1924,,None,
2970,IOLM,Intl Org Legal Metrology,International Organization for Legal Metrology,1955,,None,
2250,IOMig,Intl Org for Migration,Intergovernmental Committee for European Migration/International Organization fo,1951,,None,
2960,IOOC,Intl Olive Oil Council,International Olive Oil Council,1959,,None,
2950,IOPCF,Int'l Oil Pollution Compens. Funds,International Oil Pollution Compensation Funds 1971 and 1992 (IOPC,1975,,None,
2940,IOPH,Intl Office Public Hygiene,International Office of Public Hygiene,1907,1946,None,
2290,IOcC,Intergov. Oceanographic Comm.,Intergovernmental Oceanographic Commission,1960,,None,
3000,IPC,Int'l Pepper Community,International Pepper Community (IPC),1971,,None,
3020,IPGRI,Int'l Plant Genetic Resource Instit.,International Plant Genetic Resources Institute (IPGRI),1994,,None,
2972,IPI,Intl Patent Institute,International Patent Institute,1947,1977,integrated,
2980,IPedI,Int'l Pedological Instit,Int'l Pedological Instit,1908,1941,integrated,
2990,IPentC,Intl Penitentiary Comm,International Penitentiary Commission,1875,1951,None,
3010,IPhyL,Intl Physiological Lab,International Physiological Laboratories on Monte-Rosa,1907,1929,None,
3030,IPrizeC,Intl Prize Court,International Prize Court,1907,1914,None,
3080,IRC,Intl Rice Comm,International Rice Commission,1948,,None,
3040,IRLCS,Intl Red Locust Control Service,International Red Locust Control Service,1949,1970,replaced,
3050,IRO,Intl Refugee Org,International Refugee Organization,1946,1952,None,
3090,IRSG,Intl Rubber Study Group,International Rubber Study Group,1944,,None,
3070,IRU,Intl Relief Union,International Relief Union,1927,1945,None,
3100,ISA,Int'l Seabed Authority,International Seabed Authority (ISBA),1994,,None,
3290,ISB,Interstate Bank,Inter-State Bank,1993,,None,
3320,ISDB,Islamic Dev. Bank,Islamic Development Bank (IsDB),1974,,None,
3310,ISHREST,Inter-State School for Hydraulic & Rural Engin...,Inter-State School of Hydraulic and Rural Engineering for Senior,1972,1996,None,
3095,ISRBC,International Sava River Basin Commission,International Sava River Basin Commission (ISRBC),2002,,None,WEBSITE: http://www.gene.ch/gentech/2002/Feb/msg00125.html NOTES: ;WEBSITE: http://www.benproject.org/ NOTES: ;WEBSITE: http://www.cslforum.org/ NOTES: ;WEBSITE: www.rainforestcoalition.org NOTES: 
3110,ISUPT,Intl Sec for Unification Pharmaco,International Secretariat for the Unification of Pharmacological Terms,1902,1914,None,
3130,ISuC,Intl Sugar Council,International Sugar Council,1937,1967,replaced,
3180,ITC,Intl Tin Council,International Tin Council,1956,1990,None,
3175,ITCC,Intl Telegraph Consultative Cmte,International Telegraph Consultative Committee,1925,1956,None,
3150,ITCLE,Intl Tech Cmte Legal Experts Air Questions,International Technical Committee of Legal Experts on Air Questions,1926,1941,None,
3140,ITPA,Int'l Tea Promotion Assoc.,International Tea Promotion Association (ITPA),1977,1984,None,
3185,ITRO,"International Tripartite Rubber Organization, Thailand","International Tripartite Rubber Organization, Thailand (ITRO)",2002,,None,WEBSITE: http://www.cbfp.org/ NOTES: ;WEBSITE: http://www.ghsi.ca/english/index.asp NOTES: ;WEBSITE: http://www.earthobservations.org/ NOTES: ;WEBSITE: http://www.icc-cpi.int/home.html&l=en NOTES: 
3190,ITTO,Int'l Tropical Timber Org,International Tropical Timber Organization (ITTO),1987,,None,
3160,ITU,Intl Telecom Union,International Telecommunication Union,1865,,None,
2310,ITVRC,Intgvt TV & Radio Corp,Intergovernmental TV & Radio Corporation (ITRC MIR),1992,,None,
2315,IUIC,Intergovernmental University of Cooperation,Intergovernmental University of Cooperation (IUIC),2001,,None,"WEBSITE: http://www.marri-rc.org/ NOTES: ;WEBSITE: http://www.acdi-cida.gc.ca/CIDAWEB/acdicida.nsf/En/JUD-5292536-HRK NOTES: ;WEBSITE: http://www.nwhf.no/ NOTES:   Website (accessed 10/31/08) indicates that Board of Governors consists of reps from UNESCO plus 5 states: Norway, Denmark, Finland, Iceland, Sweden.;WEBSITE: http://www.africa-union.org/root/au/organs/Pan-African_Parliament_en.htm NOTES: ;WEBSITE: http://usinfo.state.gov/products/pubs/proliferation/ - http://www.state.gov/t/isn/c10390.htm NOTES: "
3220,IUPCT,Intl Union Publication of Customs Tariffs,International Union for the Publication of Customs Tariffs,1890,,None,
3200,IUPIP,Intl Union for Protection of Industrial Prop,International Union for the Protection of Industrial Property,1883,,None,
3210,IUPLAW,Intl Union for Protection of Lit & Art Works,International Union for the Protection of Literary and Artistic Works (Berne Uni,1886,,None,
4360,IUPNVP,Union for Protection of New Varieties of Plants,Union for the Protection of New Varieties of Plants/International Union of the P,1961,,None,
3230,IUPR,Intl Union of Pruth,International Union of Pruth (River),1866,1914,None,
3240,IVWO,Intl Vine & Wine Office,International Vine and Wine Office,1924,2003,replaced,
3270,IWSG,Intl Wool Study Group,International Wool Study Group,1947,1992,None,
3250,IWhale,Intl Whaling Comm,International Whaling Commission,1946,,None,
3280,Iocean,Interoceanmetall,Interoceanmetal,1987,,None,
3340,JALAAO,Joint Anti-Locust & Anti-Aviarian Org.,Joint Anti-Locust and Anti-Aviarian Organization,1965,2001,None,
3350,JINR,Joint Instit for Nuke Research,Joint Institute for Nuclear Research,1956,,None,
3360,JNOLCRH,Joint Nordic Org. Lappish Culture & Reindeer,Joint Nordic Organization for Lappish Culture and Reindeer Husbandry,1965,2000,None,
3380,LACAC,L/A Civil Aviation Comm.,Latin American Civil Aviation Commission (LACAC),1973,,None,
3370,LACP,Latin Am Center for Physics,Latin American Center for Physics,1962,,None,
3410,LAEO,Latin American Energy Org.,Latin American Energy Organization,1973,,None,
3420,LAFDO,L/A Fisheries Devel. Org.,Latin American Fisheries Development Organization,1982,,None,
3428,LAFTA,Latin American Free Trade Area,Latin American Free Trade Association,1961,1980,replaced,
3430,LAIA,Latin Am Integration Assn,Latin American Integration Association (LAIA),1980,,None,
3400,LAIEC,Latin American Institute of Communication,Latin American Educational Film Institute/Latin American Institute of Communicat,1956,,None,
3440,LATIN,Latin Union,Latin Union,1954,,None,
1150,LCBC,Lake Chad Basin Comm,Commission of the Chad Basin/Lake Chad Basin Commission,1964,,None,
3470,LGIDA,Liptako-Gourma Integrated Dev. Auth.,Liptako-Gourma Integrated Development Authority (LGA),1970,,None,
3450,LOAS,League of Arab States,League of Arab States,1945,,None,
3460,LoN,League of Nations,League of Nations,1920,1945,replaced,
3505,MARRI,"Migration, Asylum, Refugees Regional Initiative","Migration, Asylum, Refugees Regional Initiative (MARRI)",2003,,None,"WEBSITE: http://www.iter.org/ NOTES: ;WEBSITE: http://www.acwl.ch/ NOTES:   [Per org's website (accessed 3/12/08), 20 LDCs and 9 MDCs became members by signing initial agreement. Later, 7 LCDs and 1 MDC became members via accession: Jordan (2002), Oman (2003), Mauritius (2003), Turkey (2003), El Salvador (2004), Indo;WEBSITE: http://www.amcow.org/ NOTES:   Per 2002 Abuja Declaration on Zambian government's website (accessed 3/12/08), there were 43 initial governments listed [I used this to code initial membership]."
3520,MCPTTC,Multi-Country Posts & Telecomm. Training Center,"Multi-Country Posts and Telecommunications Training Centre, Blantyre/not indep u",1984,,None,
3510,MCWCASM,Minist Conf of West & Cent African States on Maritime,Ministerial Conference of West and Central African States on Maritime,1975,,None,
3500,MEMTTA,Mideast & Medit. Travel & Tourism Assoc.,Middle East - Mediterranean Travel and Tourism Association (MEMTTA),1995,,None,
3550,MFO,Multilateral Force Org.,Multinational Force and Observers (MFO),1981,,None,
3540,MIGA,Multilateral Investment Guarantee Agency,Multilateral Investment Guarantee Agency (MIGA),1988,,None,
3545,MOPAN,Multilateral Organizations Performance Assessment Network,Multilateral Organizations Performance Assessment Network (MOPAN),2002,,None,"WEBSITE: http://www.bibalex.org/ NOTES: ;WEBSITE: http://www.segib.org/ NOTES:   Per Final Declaration of 2003 Summit (pdf on org's website 6/21/08), 21 countries participated in 2003 Summit that created Secretariat (Andorra joined in 2004, per Wikipedia).;WEBSITE: http://www.wmdcommission.org/ NOTES: The Commission has 14 members: the Chairman plus 13 Commissioners chosen by him [these individuals come from: Sweden (chair), Australia, Brazil, China, India, Indonesia, Ireland, Japan, Jordan, Russia, Senegal, Sri Lanka, UK, USA.  [Appears to ;WEBSITE: http://www.savacommission.org/ NOTES: "
3480,MRU,Mano River Union,Mano River Union (MRU),1973,,None,
3490,MWN,Mediterranean Water Network,Mediterranean Water Network (MWN),1993,,None,
4260,Mercosur,MERCOSUR,Southern Common Market/MERCOSUR,1991,,None,
3530,Montreal,Multilat. Fund for the Implement. of the Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol,1990,,None,
3560,NACAP,Network of Aquaculture Centers in Asia-Pac,Network of Aquaculture Centres in Asia-Pacific (NACA),1990,,None,
2572,NAFO,NW Atlantic Fish Org,Northwest Atlantic Fisheries Oranization,1979,,None,
3670,NAFTA,North American FTA,North American Free Trade Agreement (NAFTA),1993,,None,
3580,NAM,Non-Aligned Movement,Non-Aligned Movement (NAM),1961,,None,
3680,NAPPO,N. Am. Plant Protection Org.,North American Plant Protection Organization (NAPPO),1976,,None,
3690,NASCO,North Atlantic Salmon Conserv. Org.,North Atlantic Salmon Conservation Organization (NASCO),1983,,None,
3700,NATO,North Atlantic Treaty Org,North Atlantic Treaty Organization (NATO),1949,,None,
3620,NCM,Nordic Council of Ministers,Nordic Council of Ministers,1971,,None,
3600,NCRR,Nord. Council for Reindeer Res.,Nordic Council for Reindeer Research,1980,2003,integrated,
3610,NCTR,Nordic Council for Tax Research,Nordic Council for Tax Research,1973,,None,
3630,NDF,Nordic Development Fund,Nordic Development Fund (NDF),1989,,None,
3730,NEAFC,Northeast Atlantic Fisheries Comm,Northeast Atlantic Fisheries Commission (NEAFC),1998,,None,
3640,NERC,Nordic Econ Res. Council,Nordic Economic Research Council,1979,1996,None,
3650,NIB,Nordic Investment Bank,Nordic Investment Bank,1976,,None,
2920,NPAFC,North Pacific Anadromous Fish Commission,International North Pacific Fisheries Commission/North Pacific Anadromous Fish C,1952,,None,
3710,NPFSC,North Pacific Fur Seal Comm,North Pacific Fur Seal Commission,1958,1988,None,
3570,NRC,Niger River Comm,Niger River Commission/Niger Basin Authority,1964,,None,
3660,NTSC,Nordic Telcomm. Satellite Council,Nordic Telecommunications Satellite Council (NTSR),1965,1986,None,
3665,NWHF,Nordic World Heritage Foundation,Nordic World Heritage Foundation (NWHF),2002,,None,WEBSITE: http://www.recsasec.org/ NOTES: ;WEBSITE: http://en.wikipedia.org/wiki/Bank_of_the_South NOTES: 
3590,NordC,Nordic Council,Nordic Council,1952,,None,
3800,OAPEC,Org. Arab Petroleum Export. Countries,Organization of Arab Petroleum Exporting Countries (OAPEC),1968,,None,
3900,OAS,Pan-Am Union/Org of Am States,Pan American Union (OAS),1890,,None,
3760,OAU,Org for African Unity,Organization for African Unity,1963,2002,replaced,
260,OCAM,Common Afro-Malagasy Economic Org,Afro-Malagasy Union (Common Afro-Malagasy Economic Organization) (OCAM),1961,1985,None,
3812,OCAS,Org. Central Am. States,Organization of Central American States,1951,1991,replaced,
3820,OCCEDCA,Org. of Coord. for Control of Endemic Diseases in Cent. Afr.,Organization of Coordination for the Control of Endemic Diseases in Central Afri,1963,,None,
3780,OCR,Org for the Collaboration of Railways,Organization for the Collaboration of Railways/WP states/ Organization of Railwa,1956,,None,
3750,OECD,Org for Econ Coop and Development,Organization for Economic Cooperation and Development (OECD),1961,,None,
3830,OECS,Org. Eastern Caribbean States,Organization of Eastern Caribbean States (OECS),1981,,None,
3762,OEEC,Org for European Economic Coop,Organization for European Economic Cooperation (Organization for Economic Cooper,1948,1961,replaced,
3740,OESAS,Observatorie economique statistique sub-saharan Afr.,Observatoire conomique et statistique d'Afrique subsaharienne,1993,,None,
3850,OIC,Org. Islamic Conference,Organization of the Islamic Conference (OIC),1969,,None,
3245,OIV,International Organization of Vine and Wine,International Organization of Vine and Wine,2004,,None,
3790,OMDKR,Org. Management & Dev. of Kaegara River,Organization for the Management and Development of the Kagera River,1977,2000,None,
280,OPANAL,Agency for Prohib. of Nuclear Arms in Latin Am.,Agency for the Prohibition of Nuclear Weapons in Latin America and the,1969,,None,
3840,OPEC,Org of Petroleum Exporting Countries,Organization of Petroleum Exporting Countries (OPEC),1960,,None,
3770,OSCE,Org. Security Cooperation Europe,Organization for Security and Cooperation in Europe (OSCE),1973,,None,
3855,OSLO,Oslo Commission,Oslo Commission,1972,1998,None,
3860,OSPAR,OSPAR Commission,OSPAR Commission,1998,,None,
1090,OTIF,Central Office for Intl Railway Transport,Central Office for International Railway Transport/OTIF,1890,,None,
3925,PAHC,Perm Assoc PanAm Highway Congresses,Permanent Association of Pan American Highway Congresses,1939,1952,None,
3890,PAHO,Pan-Am Health Org,Pan American Sanitary Bureau (PASOrganization/PAHealthOrganization),1902,,None,
3880,PAIGH,Pan Am Instit of Geog & Hist,Pan American Institute of Geography and History,1928,,None,
3875,PAP,Pan-African Parliament,Pan-African Parliament,2002,,None,WEBSITE: http://www.gene.ch/gentech/2002/Feb/msg00125.html NOTES: ;WEBSITE: http://www.benproject.org/ NOTES: ;WEBSITE: http://www.cslforum.org/ NOTES: ;WEBSITE: www.rainforestcoalition.org NOTES: 
3910,PC,Paris Commission,Paris Commission (PARCOM),1977,1998,replaced,
3940,PCA,Permanent Court of Arbitration,Permanent Court of Arbitration,1899,,None,
3870,PCB,Pacific Cable-Board,Pacific Cable Board,1920,1948,None,
3930,PCSP,Perm Comm for Conserv Maritime South Pacific,Permanent Commission for the Conservation of the Maritime Resources of the South,1952,,None,
4000,PED,Pole European de Development,PÙle europÈen de dÈveloppement (PED),1985,,None,
3950,PIARC,World Road Assn,Permanent International Association of Road Congresses/ World Road Association,1908,,None,
3960,PIBAC,Perm Intl Bureau Analytical Chem-Human & Animal,Permanent International Bureau of the Analytical Chemistry of Human and Animal F,1923,1934,replaced,
3970,PICDCS,Perm. Interstate Comm. for Drought Control in the Sahel,Permanent Interstate Committee for Drought Control in the Sahel,1973,,None,
3720,PICES,North Pac. Marine Science Org.,North Pacific Marine Science Organization (PICES),1992,,None,
3965,PICS,Perm Intl Comm Studies Sanitary Equip,Permanent International Commission of Studies on Sanitary Equipment,1925,1938,None,
4200,PIF,Pacific Island Forum,South Pacific Forum (SPF),1971,,None,
3920,PIPD,Partners in Population & Development,Partners in Population and Development - A South-South Initiative,1994,,None,
4010,PMAESA,Port Management Assoc. of E. and S. Africa,Port Management Association of Eastern and Southern Africa (PMAESA),1973,,None,
4035,PSI,Proliferation Security Initiative,Proliferation Security Initiative (PSI),2003,,None,WEBSITE: http://www.ghsi.ca/english/index.asp NOTES: ;WEBSITE: http://www.earthobservations.org/ NOTES: ;WEBSITE: http://www.icc-cpi.int/home.html&l=en NOTES: 
3980,PSNARCO,Perm. Sec. of the S. Am. Agr. on Narcotic Drugs,Permanent Secretariat of the South American Agreement on Narcotic Drugs and Psyc,1979,1998,None,
4030,PTASEA,Pref Trade Area: S & E Africa,Preferential Trade Agreement for Southern & Eastern Africa,1981,1993,replaced,
4020,PUASP,"Postal Union of Am, Spain, Port","Postal Union of the Americas and Spain/Postal Union of the Americas, Spain, and ",1911,,None,
4050,RASCOM,Reg. Afr. Satellite Comm. Org.,Regional African Satellite Communications Organization (RASCOM),1992,,None,
4080,RCAELA,Reg. Council for Adult Educ. & Literacy in Africa,Regional Council for Adult Education and Literacy in Africa,1974,,None,
4060,RCC,Reg Commonwealth in the Field of Comm,Regional Commonwealth in the Field of Communications (RCC),1991,,None,
4055,RECSA,Regional Centre on Small Arms and Light Weapons,Regional Centre on Small Arms and Light Weapons (RECSA),2004,,None,"WEBSITE: http://www.nwhf.no/ NOTES:   Website (accessed 10/31/08) indicates that Board of Governors consists of reps from UNESCO plus 5 states: Norway, Denmark, Finland, Iceland, Sweden.;WEBSITE: http://www.africa-union.org/root/au/organs/Pan-African_Parliament_en.htm NOTES: "
4090,RIMMO,Reserve internationale medit. occidentale,RÈserve internationale maritime en mÈditerranÈe occidentale (RIMMO),1992,,None,
3060,RIOPPAH,Intl Reg Org against Plant & Animal Disease,International Regional Organization against Plant and Animal Diseases/Internatio,1953,,None,
4100,RIOgroup,Rio Group,Rio Group,1986,,None,
4040,RadioU,Radiotelegraph Union,Radiotelegraph Union,1906,1926,None,
4085,RepCom,Reparation Commission,Reparation Commission,1919,1933,None,
4270,SAAFA,Special Arab Aid Fund for Africa,Special Arab Aid Fund for Africa (SAAFA),1974,1977,None,
4170,SAARC,South Asian Assoc Regional Coop,South Asian Association for Regional Cooperation (SAARC),1985,,None,
4160,SACEP,S. Asia Coop. Environment Prog.,South Asia Cooperative Environment Programme (SACEP),1983,,None,
4240,SACU,Southern African CU,Southern African Customs Union (SACU),1969,,None,
4250,SADC,Southern African Dev. Community,Southern African Development Community (SADC),1992,,None,
4251,SADCC,Southern African Dev. Coordination Conf.,Southern African Development Coordination Conference (SADCC),1980,1992,replaced,
4140,SAMI,Societe arabe des mines de l'Inchiri,Soci t arabe des mines de l'Inchiri (SAMIN),1980,,None,
4230,SARTC,Souoth African Regional Tourism Council,Southern Africa Regional Tourism Council (SARTOC),1973,1996,None,
4280,SCA,Suez Canal Admin,Suez Canal Administration,1888,1914,None,
4110,SCAf,Scientific Council in SSA,Scientific Council for Africa South of the Sahara,1950,1965,None,
4300,SCH,Superior Council of Health,Superior Council of Health,1838,1914,None,
